MultQual,GrLivArea,GarageCars,SumSF,FullBath,Age
112.0,1710.0,2.0,856.0,2.0,5.0
54.0,1262.0,2.0,1262.0,2.0,31.0
112.0,1786.0,2.0,920.0,2.0,7.0
128.0,2198.0,3.0,1145.0,2.0,8.0
45.0,1362.0,2.0,796.0,1.0,16.0
128.0,1694.0,2.0,1690.0,2.0,3.0
63.0,2090.0,2.0,1107.0,2.0,36.0
45.0,1077.0,1.0,1034.0,1.0,69.0
45.0,1040.0,1.0,1040.0,1.0,43.0
225.0,2324.0,3.0,1178.5,3.0,1.0
45.0,912.0,1.0,912.0,1.0,46.0
112.0,1494.0,3.0,1494.0,2.0,1.0
54.0,1253.0,1.0,1253.0,1.0,48.0
63.0,854.0,2.0,843.0,1.0,78.0
54.0,1004.0,2.0,1004.0,1.0,40.0
36.0,1296.0,2.0,648.0,2.0,39.0
60.0,1114.0,2.0,1114.0,1.0,4.0
128.0,2376.0,3.0,1158.0,3.0,1.0
84.0,1108.0,1.0,872.5,1.0,77.0
128.0,1795.0,2.0,1786.0,2.0,6.0
45.0,1060.0,2.0,1050.0,1.0,31.0
60.0,1060.0,1.0,1060.0,1.0,42.0
128.0,1600.0,3.0,1583.0,2.0,2.0
60.0,900.0,2.0,900.0,1.0,59.0
128.0,1704.0,3.0,1704.0,2.0,3.0
45.0,1600.0,1.0,1542.0,1.0,49.0
24.0,520.0,1.0,520.0,1.0,81.0
60.0,1228.0,1.0,1228.0,1.0,42.0
128.0,1234.0,2.0,1234.0,2.0,1.0
60.0,1700.0,2.0,1549.0,1.0,51.0
225.0,1561.0,2.0,1561.0,2.0,2.0
128.0,2452.0,3.0,1124.5,3.0,2.0
45.0,1097.0,2.0,1097.0,1.0,15.0
45.0,1297.0,2.0,1297.0,1.0,55.0
24.0,1152.0,0.0,576.0,2.0,53.0
45.0,1328.0,1.0,1339.0,1.0,48.0
60.0,884.0,2.0,862.0,1.0,24.0
45.0,938.0,1.0,938.0,1.0,33.0
45.0,1150.0,1.0,1150.0,1.0,47.0
225.0,1752.0,2.0,1752.0,2.0,5.0
128.0,1656.0,3.0,1656.0,2.0,1.0
36.0,1452.0,0.0,736.0,2.0,89.0
45.0,955.0,1.0,955.0,1.0,41.0
54.0,1470.0,2.0,794.0,2.0,10.0
54.0,1176.0,2.0,816.0,1.0,72.0
30.0,816.0,2.0,816.0,1.0,47.0
144.0,1842.0,3.0,1842.0,0.0,25.0
45.0,1360.0,2.0,872.0,1.0,52.0
54.0,1425.0,2.0,1425.0,2.0,44.0
112.0,1720.0,2.0,860.0,2.0,2.0
200.0,2945.0,3.0,1418.0,3.0,0.0
45.0,780.0,1.0,780.0,1.0,36.0
72.0,1158.0,2.0,1158.0,1.0,2.0
30.0,1111.0,1.0,555.5,1.0,87.0
128.0,1370.0,2.0,1370.0,2.0,1.0
63.0,1710.0,2.0,739.0,2.0,89.0
84.0,2034.0,2.0,1057.0,2.0,12.0
128.0,2473.0,3.0,1143.0,2.0,3.0
63.0,2207.0,2.0,2077.0,2.0,40.0
112.0,1479.0,2.0,1466.0,2.0,4.0
36.0,747.0,1.0,747.0,1.0,65.0
84.0,2287.0,2.0,1304.0,2.0,53.0
63.0,2223.0,2.0,2223.0,2.0,34.0
36.0,845.0,2.0,845.0,1.0,25.0
63.0,1718.0,2.0,858.5,2.0,11.0
45.0,1086.0,2.0,1086.0,1.0,56.0
36.0,1605.0,1.0,840.0,2.0,95.0
36.0,988.0,1.0,494.0,1.0,36.0
36.0,952.0,1.0,952.0,1.0,52.0
45.0,1285.0,1.0,872.0,1.0,60.0
36.0,1768.0,0.0,1768.0,2.0,42.0
45.0,1230.0,2.0,561.0,1.0,99.0
72.0,2142.0,1.0,1039.0,2.0,41.0
54.0,1337.0,2.0,1287.0,2.0,8.0
96.0,1563.0,3.0,1563.0,2.0,1.0
45.0,1065.0,2.0,1065.0,1.0,47.0
63.0,1474.0,2.0,594.0,2.0,14.0
128.0,2417.0,2.0,1294.5,2.0,15.0
96.0,1560.0,2.0,684.0,2.0,4.0
96.0,1224.0,2.0,612.0,2.0,0.0
36.0,990.0,0.0,990.0,1.0,13.0
36.0,1040.0,2.0,520.0,1.0,56.0
45.0,964.0,2.0,920.0,1.0,88.0
72.0,1786.0,2.0,864.5,2.0,10.0
90.0,1470.0,2.0,680.0,2.0,16.0
112.0,1588.0,2.0,1588.0,2.0,7.0
36.0,960.0,1.0,960.0,1.0,42.0
36.0,1225.0,0.0,1087.5,1.0,51.0
72.0,1610.0,2.0,1610.0,2.0,33.0
96.0,1732.0,2.0,859.0,2.0,25.0
45.0,1535.0,2.0,767.5,2.0,30.0
84.0,1226.0,3.0,1226.0,2.0,1.0
63.0,1818.0,1.0,1133.0,1.0,76.0
128.0,1992.0,2.0,1053.0,2.0,5.0
36.0,1047.0,1.0,844.0,1.0,122.0
45.0,789.0,1.0,789.0,1.0,60.0
30.0,1517.0,0.0,895.0,2.0,88.0
54.0,1844.0,2.0,1844.0,2.0,33.0
54.0,1855.0,1.0,1105.0,2.0,52.0
63.0,1430.0,2.0,579.0,2.0,10.0
140.0,2696.0,3.0,1273.0,2.0,0.0
72.0,2320.0,1.0,1232.0,2.0,62.0
54.0,1458.0,2.0,729.0,2.0,8.0
45.0,1092.0,1.0,1092.0,1.0,47.0
45.0,1125.0,2.0,1125.0,1.0,1.0
84.0,3222.0,3.0,1686.0,3.0,20.0
96.0,1456.0,2.0,728.0,2.0,1.0
54.0,988.0,2.0,963.0,1.0,37.0
36.0,1123.0,1.0,752.0,1.0,68.0
54.0,1080.0,1.0,1080.0,1.0,50.0
96.0,1199.0,2.0,1199.0,2.0,15.0
54.0,1586.0,2.0,1474.0,2.0,30.0
54.0,754.0,0.0,520.0,1.0,71.0
54.0,958.0,2.0,1018.0,2.0,31.0
45.0,840.0,0.0,756.0,1.0,77.0
54.0,1348.0,2.0,660.0,1.0,40.0
84.0,2157.0,2.0,1070.0,2.0,40.0
96.0,2054.0,2.0,1007.0,2.0,9.0
60.0,1327.0,2.0,1195.0,1.0,48.0
128.0,1296.0,2.0,1281.5,2.0,8.0
45.0,1721.0,2.0,1591.0,2.0,38.0
63.0,1682.0,2.0,1493.0,2.0,38.0
45.0,1214.0,1.0,1214.0,2.0,40.0
128.0,1852.0,3.0,1004.0,2.0,9.0
72.0,1764.0,2.0,928.0,2.0,12.0
36.0,864.0,0.0,864.0,1.0,39.0
112.0,1734.0,2.0,1734.0,2.0,1.0
45.0,1385.0,2.0,910.0,2.0,58.0
112.0,1501.0,2.0,1495.5,2.0,10.0
96.0,1709.0,2.0,970.0,2.0,2.0
45.0,875.0,1.0,795.0,1.0,78.0
112.0,2035.0,2.0,884.0,2.0,9.0
84.0,1080.0,0.0,1080.0,1.0,4.0
45.0,1344.0,1.0,896.0,1.0,70.0
45.0,969.0,2.0,969.0,1.0,32.0
128.0,1710.0,3.0,1710.0,2.0,1.0
54.0,1993.0,2.0,961.0,2.0,35.0
54.0,1252.0,2.0,1427.0,1.0,48.0
54.0,1096.0,0.0,572.0,1.0,84.0
45.0,1040.0,2.0,520.0,1.0,56.0
160.0,1968.0,3.0,774.0,2.0,1.0
112.0,1947.0,2.0,991.0,2.0,6.0
112.0,2462.0,2.0,1392.0,2.0,1.0
54.0,1232.0,2.0,1232.0,2.0,24.0
180.0,2668.0,3.0,1572.0,2.0,5.0
112.0,1541.0,2.0,1541.0,2.0,5.0
36.0,882.0,0.0,882.0,1.0,51.0
72.0,1616.0,1.0,1149.0,2.0,81.0
45.0,1355.0,0.0,726.0,2.0,68.0
60.0,1867.0,1.0,1742.0,1.0,54.0
160.0,2161.0,3.0,1596.0,1.0,0.0
112.0,1720.0,2.0,840.0,2.0,3.0
96.0,1707.0,2.0,1696.5,2.0,25.0
45.0,1382.0,2.0,787.0,1.0,66.0
54.0,1656.0,2.0,1368.0,1.0,50.0
112.0,1767.0,2.0,1064.0,2.0,19.0
54.0,1362.0,2.0,1362.0,1.0,47.0
54.0,1651.0,2.0,1628.5,2.0,22.0
72.0,2158.0,2.0,1680.0,2.0,57.0
72.0,2060.0,2.0,1157.5,2.0,19.0
80.0,1920.0,2.0,1152.0,2.0,48.0
225.0,2234.0,3.0,2225.0,2.0,1.0
60.0,968.0,2.0,968.0,1.0,84.0
96.0,1525.0,2.0,762.5,2.0,7.0
63.0,1802.0,1.0,847.0,1.0,86.0
45.0,1340.0,1.0,670.0,1.0,50.0
84.0,2082.0,2.0,1362.0,2.0,5.0
45.0,1252.0,2.0,720.0,1.0,98.0
200.0,3608.0,3.0,1312.5,2.0,114.0
84.0,1217.0,2.0,1202.5,2.0,19.0
45.0,1656.0,1.0,734.0,2.0,93.0
45.0,1224.0,2.0,1155.0,0.0,30.0
160.0,1593.0,2.0,1593.0,1.0,7.0
128.0,2727.0,2.0,1201.0,2.0,75.0
84.0,1479.0,2.0,725.0,1.0,35.0
112.0,1431.0,2.0,1431.0,2.0,10.0
112.0,1709.0,2.0,970.0,2.0,2.0
